Spanisch	Deutsch
el abril	April
el abuelo	der Großvater
el aeropuerto	der Flughafen
el agosto	August
el agua	das Wasser
el agua con gas	das Mineralwasser
el agua potable	Trinkwasser
el agua sin gas	das stille Wasser
el ajo	der Knoblauch
el albañil/ la albañil	der/die Maurer/-in
el albaricoque	die Aprikose
el almuerzo	Mittagsessen
el amigo/ la amiga	der Freund/ die Freundin
el amor	die Liebe
el anillo	der Ring
el animal	das Tier
el aniversario	der Jahrestag
el año	das Jahr
el Año Nuevo	Neujahr
el apartamento	die Wohnung
el apellido	der Nachname
el apio-nabo	der Sellerie
el arándano	die Heidelbeere
el árbol	der Baum
el armario	der Schrank
el arquitecto/ la arquitecta	der/die Architekt/-in
el ascensor	der Aufzug
el asiento	der Sitzplatz
el atletismo	Leichtathletik
el atún	der Thunfisch
el autobús	der Bus
el autor/ la autora	der/die Autor/-in
el ave	der Vogel
el avión	das Flugzeug
el ayuntamiento	das Rathaus
el bádminton	Badminton
el baile	der Tanz
el baloncesto	Basketball
el balonmano	Handball
el bañador	der Badeanzug
el banco	die Bank
el baño	das Badezimmer
el banquero/ la banquera	der/die Bänker/-in
el bar	die Bar
el barco	das Schiff
el béisbol	Baseball
el beso	der Kuss
el billete	die Fahrkarte
el billete de autobús	die Busfahrkarte
el biquini	der Bikini
el bloc de notas	der Notizblock
el bolso	die Tasche
el bombero/ la bombera	der/die Feuerwehrmann/-frau
el bosque	der Wald
el boxeo	Boxen
el brazo	der Arm
el brócoli	der Brokkoli
el burro	der Esel
el caballito de mar	das Seepferdchen
el caballo	das Pferd
el café	der Kaffee
el cajero/ la cajera	der/die Kassierer/-in
el calabacín	die Zucchini
el calendario	der Kalender
el calor	die Wärme, die Hitze
el camarero/ la camarera	der/die Kellner/-in
el campo	das Feld
el canario	der Kanarienvogel
el caracól	die Schnecke
el carrito de la compra	der Einkaufswagen, der Warenkorb
el castillo	das Schloss
el cepillo de dientes	die Zahnbürste
el cerdo	das Schwein
el cerebro	Gehirn
el charco	die Pfütze
el chucrut	das Sauerkraut
el cielo	der Himmel
el científico/ la científica	der/die Wissenschaftler/-in
el cine	das Kino
el cinturón	der Gürtel
el clima	das Klima
el coche	das Auto
el cocinero/ la cocinera	der/die Koch/Köchin
el cocodrilo	das Krokodil
el codo	der Ellenbogen
el collar	die Halskette
el comedor	das Esszimmer
el comienzo	der Anfang
el conductor/ la conductora (de autobús)	der/die (Bus-)Fahrer/-in
el conejo	das Kaninchen
el continente	der Kontinent
el copo de nieve	die Schneeflocke
el cordero	das Lamm
el corzo	das Reh
el costumbre	die Gewohnheit, der Brauch
el cuaderno	das Heft, der Notizblock
el cuarto de baño	das Badezimmer
el cuchillo	das Messer
el cuello	der Hals
el cumpleaños	der Geburtstag
el cuñado	der Schwager
el dedo	der Finger
el dedo del pie	der Zeh
el delfín	der Delfin
el deporte	der Sport
el desayuno	das Frühstück
el descuento	der Rabatt
el día	der Tag
el Día de los Reyes Magos	Tag der heiligen drei Könige (6. Januar)
el diccionario	das Wörterbuch
el diciembre	Dezember
el diente	der Zahn
el dinero	das Geld
el director / la directora	der Schulleiter / die Schulleiterin
el disgusto	der Ärger
el dolor abdominal	der Bauchschmerz
el dolor de cabeza	der Kopfschmerz
el domingo	Sonntag
el dormitorio	das Schlafzimmer
el edificio	das Gebäude
el elefante	der Elefant
el emprendedor/ la emprendedora	der/die Unternehmer/-in
el enero	Januar
el enfermero/ la enfermera	der/die Krankenpfleger/-in
el enojo	die Verärgerung
el entusiasmo	die Begeisterung
el equipaje	das Gepäck
el equipo	das Team, die Ausrüstung
el equitación	der Reitsport
el erizo	der Igel
el escritor/ la escritora	der/die Autor/-in
el escritorio	der Schreibtisch
el espárrago	der Spargel
el esqueleto	das Skelett
el estómago	der Magen
el estuche de lápices	das Mäppchen
el evento	die Veranstaltung
el farmacéutico/ la farmacéutica	der/die Apotheker/-in
el febrero	Februar
el ferry	die Fähre
el festivo	der Feiertag
el fin	das Ende
el fin de semana	das Wochenende
el fotógrafo/ la fotógrafa	der/die Fotograf/-in
el fuego	das Feuer
el fútbol	Fußball
el gato	die Katze
el gimnasio	das Fitnessstudio
el gobierno	die Regierung
el golf	Golf
el gorila	der Gorilla
el gorro	die Mütze
el gramo	das Gramm
el grupo	die Gruppe
el hámster	der Hamster
el hermano	der Bruder
el hijo	der Sohn
el hipopótamo	das Nilpferd
el hockey	Hockey
el hombre	der Mann
el hombro	die Schulter
el hospital	das Krankenhaus
el hotel	das Hotel
el hurón	das Frettchen
el ingeniero/ la ingeniera	der/die Ingenieur/-in
el invierno	der Winter
el jabalí	das Wildschwein
el jamón	der Schinken
el jardín	der Garten
el jersey	der Pullover
el juego	das Spiel
el jueves	Donnerstag
el juez/ la jueza	der/die Richter/-in
el julio	Juli
el junio	Juni
el kilo	das Kilo
el kiwi	die Kiwi
el lago	der See
el lápiz	der Bleistift
el lápiz de color	der Buntstift
el león	der Löwe
el libro	das Buch
el limón	die Zitrone
el litro	der Liter
el lobo	der Wolf
el loro/ el papagayo	der Papagei
el lugar	der Ort
el lunar	das Muttermal
el lunes	Montag
el maíz	der Mais
el mango	die Mango
el marcador	der Filzstift
el martes	Dienstag
el marzo	März
el mayo	Mai
el médico/la médica	der Arzt, die Ärztin
el medio ambiente	die Umwelt
el mediodía	der Mittag
el melocotón	der Pfirsich
el melón	die Melone
el mes	Monat
el miedo	die Angst
el miércoles	Mittwoch
el minuto	die Minute
el mono	der Affe
el monumento	das Denkmal
el móvil/ el celular	das Handy
el movimiento	die Bewegung
el mundo	die Welt
el museo	das Museum
el músico/ la música	der/die Musiker/-in
el muslo	der Oberschenkel
el niño	Junge
el nombre	der Name
el notario/ la notaria	der/die Notar/-in
el noviembre	November
el novio/ la novia	der Freund/ die Freundin
el octubre	Oktober
el odio	der Hass
el oftalmólogo/ la oftalmóloga	der/die Augenarzt/-ärztin
el ojo	das Auge
el óptico/ la óptica	der/die Optiker/-in
el ordenador	der Computer
el oro	das Gold
el oso	der Bär
el oso blanco/ polar	der Eisbär
el otoño	der Herbst
el padre	der Vater
el país	das Land
el paisaje	die Landschaft
el pájaro	der Vogel
el pan	das Brot
el papel	das Papier
el paquete	das Paket
el paraguas	der Regenschirm
el parque de atracciones	der Freizeitpark
el parque infantil	der Spielplatz
el paseo	der Spaziergang
el pasillo	der Gang
el pastel	der Kuchen
el patinaje sobre hielo	Eislaufen
el patio de la escuela	der Pausenhof
el pato	die Ente
el pelo	das Haar
el peluquero/ la peluquera	der/die Friseur/in
el pendiente	der Ohrring
el pepino	die Gurke
el permiso	die Erlaubnis
el perro	der Hund
el pescado	der Fisch
el pie	der Fuß
el pijama	der Schlafanzug
el pimiento	die Paprika
el pingüino	der Pinguin
el piso	die Etage
el planeta	der Planet
el plátano	die Banane
el plato principal	der Hauptgang
el policía/ la mujer policía	der/die Polizist/-in
el político/ la política	der/die Politiker/-in
el pollito	das Küken
el pollo/ la gallina	das Huhn/ die Henne
el pomelo	die Grapefruit
el postre	das Dessert
el prado	die Wiese
el precio	der Preis
el premio	der Preis (Wettbewerb, Belohnung)
el primer plato	die Vorspeise
el problema	das Problem
el profesor/la profesora	der Lehrer / die Lehrerin
el pronóstico meteorológico	der Wetterbericht
el pueblo	das Dorf
el pulpo	der Oktopus
el punto	der Punkt
el queso	der Käse
el ratón	die Maus
el redactor/ la redactora	der/die Redakteur/-in
el regalo	das Geschenk
el reloj	die Uhr
el repollo morado	das Rotkraut
el resfriado	die Erkältung
el restaurante	das Restaurant
el resultado	das Ergebnis, das Resultat
el rinoceronte	das Nashorn
el robot	der Roboter
el sábado	Samstag
el sabor	der Geschmack
el sacapuntas	der Anspitzer
el salón	das Wohnzimmer
el segundo	die Sekunde
el senderismo	Wandern
el septiembre	September
el servicio, el aseo	die Toiletten
el siglo	das Jahrhundert
el signo	Zeichen, Vorzeichen
el silencio	die Ruhe
el sillón	der Sessel
el sobrino	der Neffe
el sofá	das Sofa
el sol	die Sonne
el sombrero	der Hut
el submarinismo	Tauchen
el sueño	der Traum
el supermercado	der Supermarkt
el tarde	der Nachmittag
el tatuaje	das Tattoo
el té	der Tee
el teatro	das Theater
el techo	das Dach
el tejón	der Dachs
el tenedor	die Gabel
el tenis	Tennis
el tenis de mesa	Tischtennis
el tiburón	der Hai
el tiempo	die Zeit, das Wetter
el tiempo libre	die Freizeit
el tigre	der Tiger
el tío	der Onkel
el tomate	die Tomate
el toro	der Stier
el trabajo	die Arbeit
el traje	der Anzug
el traje de baño	die Badehose
el tronco	der Oberkörper
el turismo	der Tourismus
el uniforme	die Uniform
el universo	das Universum
el uso	der Gebrauch
el vendedor/ la vendedora	der/die Verkäufer/-in
el verano	der Sommer
el vestido	das Kleid
el vestuario	die Umkleidekabine
el veterinario/ la veterinaria	der/die Tierarzt/-ärztin
el viento	der Wind
el viernes	Freitag
el vino	der Wein
el yogurt	der Joghurt
el zoo	der Zoo
el zorro	der Fuchs
el zumo	der Saft
el/ la estudiante	der Schüler / die Schülerin
el/la artista	der/die Künstler/-in
el/la cantante	der/die Sänger/-in
el/la conserje	der/die Pförtner/-in
el/la contable	der/die Buchhalter/-in
el/la dentista	der/die Zahnarzt/-ärztin
el/la electricista	der/die Elektriker/-in
el/la gerente	der/die Manager/-in
el/la periodista	der/die Journalist/-in
el/la piloto	der/die Pilot/-in
el/la recepcionista	der/die Rezeptionist/-in
el/la secretaria	der/die Sekretär/-in
el/la taxista	der/die Taxifahrer/-in
elirrojo / pelirroja	rothaarig
ella	sie
ellos/ellas/ustedes	sie / Sie
emocionado/a	aufgeregt, ergriffen
enamorado/a	verliebt
Encantado de conocerle / conocerte.	Nett Sie/Dich kennenzulernen.
encantado/a	verzaubert, erfreut
encantador	charmant
encontrar	finden
enfermo/a	krank
enfrente de	gegenüber von
England	Inglaterra
entonces	dann, also
entre	zwischen
escalar	klettern
escribir	schreiben
escuchar la música	Musik hören
esquiar	Ski fahren
Estados Undios de América	USA
estrecho/a	schmal
estresado/a	gestresst
estricto/a	streng
estudiar	lernen, studieren
estupendo/a	großartig
estúpido	dumm
Europa	Europa
extraño	seltsam
fácil	einfach
famoso/a	berühmt
feliz	glücklich
feo/a	hässlich
Finnland	Finlandia
Frankreich	Francia
frío/a	gefühlskalt, kaltherzig
fuerte	stark, kräftig
furioso/a	wütend
ganar algo	etw. gewinnen
genial	genial
grande	groß
gratis, gratuito	kostenlos
Griechenland	Grecia
gris	grau
gritar	schreien
hablar	sprechen
Hace calor.	Es ist warm.
hacer	machen
hacer senderismo	wandern gehen
hasta	bis
hay	es gibt
hermoso/a	schön
hornear	backen
hospitalario	gastfreundlich
hoy	heute
Igualmente	Ebenfalls
impaciente	ungeduldig
importante	wichtig
impresionado/a	beeindruckt, überwältigt
incorrecto	falsch
infeliz	unglücklich
insociable	ungesellig
inteligente	intelligent
intentar	versuchen
invitar	einladen
ir	gehen
ir a comer	Essen gehen
ir a la playa	an den Strand gehen
ir de compras	shoppen/ einkaufen gehen
ir en bicicleta	Fahrrad fahren
Irland	Irlanda
irrespetuoso/a	respektlos
Italien	Italia
izquierda	links
Japón	Japan
joven	jung
jugar	spielen
la abeja	die Biene
la abuela	die Großmutter
la adrilla	das Eichhörnchen
la aduana	der Zoll
la agricultura	die Landwirtschaft
la alubia	die Bohne
la ambulancia	der Krankenwagen
la amistad	die Freundschaft
la anguila	der Aal
la articulación	das Gelenk
la asignatura	das Fach
la atención	die Aufmerksamkeit
la autoconfianza	das Selbstbewusstsein
la ayuda	die Hilfe
la babacoa	das Grillen
la ballena	der Wal
la barbilla	das Kinn
la barca	das Boot
la berenjena	die Aubergine
la biblioteca	die Bücherei
la bicicleta	das Fahrrad
la blusa	die Bluse
la boca	der Mund
la boda	die Hochzeit
la bolsa	die Tüte
la bolsa deportiva	die Sporttasche
la botella	die Flasche
la bufanda	der Schal
la cabeza	der Kopf
la cabra	die Ziege
la cadera	die Hüfte
la caja	die Kasse die Schachtel, die Kiste
la calabaza	der Kürbis
la calculadora	der Taschenrechner
la calle	die Straße
la calva	die Glatze
la cama	das Bett
la camiseta	das T- Shirt
la campana	die Glocke
la capital	die Hauptstadt
la cara	das Gesicht
la carga	die Last
la carne	das Fleisch
la carrera ciclista	das Radrennen
la carta	der Brief, die Karte
la casa	das Haus
la cebolla	die Zwiebel
la cebra	das Zebra
la ceja	die Augenbraue
la cena	das Abendessen
la cereza	die Kirsche
la cerveza	das Bier
la ciruela	die Pflaume
la ciudad	die Stadt
la clase	die Klasse
la cocina	die Küche
la coliflor	der Bluhmenkohl
la comida	das Essen
la confitura	die Marmelade
la cosa	die Sache, das Ding
la cuchara	der Löffel
la cuenta	die Rechnung
La cuenta, por favor.	Die Rechnung bitte.
la cuñada	die Schwägerin
la curiosidad	die Neugier
la década	Jahrzehnt
la despedida	der Abschied
la dificultad	die Schwierigkeit
la diversión	der Spaß
la edad	das Alter
la electricidad	die Elektrizität
la empresa	die Firma
la enfermedad	die Krankheit
la ensalada	der Salat
la entrega	die Lieferung
la escuela	die Schule
la esperanza	die Hoffnung
la espinaca	der Spinat
la estación	der Bahnhof
la estación de autobús	die Bushaltestelle
la estación de policía	das Polizeirevier
la estantería	das Regal
la estrella	der Stern
la expresión	der Ausdruck
la falda	der Rock
la falta	der Fehler, der Mangel
la familia	die Familie
la faringe	der Rachen
la farmacia	die Apotheke
la fiebre	das Fieber
la fiesta	die Feier
la flor	die Blume
la frambuesa	die Himbeere
la frase	der Satz
la frente	die Stirn
la fresa	die Erdbeere
la gasolinera	die Tankstelle
la gente	die Leute, die Menschen, das Volk
la goma de borrar	das Radiergummi
la granja	der Bauernhof
la gripe	die Grippe
la guisante	die Erbse
la habitación	das Zimmer
la hamaca	die Hängematte
la hermana	die Schwester
la hierba	das Gras
la hija	die Tochter
la hora	die Uhrzeit, die Stunde
la hormiga	die Ameise
la huelga	der Streik
la iglesia	die Kirche
la información	die Information, die Auskunft
la invitación	die Einladung
la jirafa	die Giraffe
la lata	die Dose
la leche	die Milch
la lechuga	der Salat
la lengua	die Zunge, die Sprache
la lenteja	die Linse
la ley	das Gesetz
la liebre	der Hase
la línea	die Linie
la lista	die Liste
la lluvia	der Regen
la lonchera	die Brotdose
la lucha	der Kampf, das Ringen
la luna	der Mond
la luz	das Licht
la madera	das Holz
la madre	die Mutter
la madrugada	die Morgendämmerung
la maleta	der Koffer
la mañana	der Morgen
la mandarina	die Mandarine
la mano	die Hand
la mantequilla	die Butter
la manzana	der Apfel
la mariposa	der Schmetterling
la medianoche	die Mitternacht
la medusa	die Qualle
la mejilla	die Wange
la mella	die Zahnlücke
la memoria	das Gedächtnis, die Erinnerung
la mesa	der Tisch
la mochila	der Rucksack
la mochila escolar	die Schultasche
la montaña	der Berg
la mujer	die Frau
la multa	das Bußgeld, die Geldstrafe
la muñeca	das Handgelenk
la música	die Musik
la naranja	die Orange
la nariz	die Nase
la nata	die Sahne
la natación	Schwimmen
la naturaleza	die Natur
la Navidad	Weihnachten
la nieve	der Schnee
la niña	das Mädchen
la noche	die Nacht
la norma	die Regel, die Vorschrift
la nube	die Wolke
la oferta	das Angebot
la oportunidad	die Chance, die Möglichkeit
la oreja	das Ohr
la oveja	das Schaf
la paciencia	die Geduld
la página	die (Buch)Seite
la palabra	das Wort
la palmera	die Palme
la paloma	die Taube
la panadería	die Bäckerei
la parada de taxis	der Taxistand
la parada de taxis	die Haltestelle
la Pascua (de Resurrección)	Ostern
la patata	die Kartoffel
la pausa	die Pause
la peca	die Sommersprosse
la película	der Film
la pelota, el balón	der Ball
la pelvis	das Becken
la pera	die Birne
la pestaña	die Wimper
la piel	die Haut
la pierna	das Bein
la piña	die Ananas
la pizarra	die Tafel
la planta	die Pflanze
la playa	der Strand
la plaza	der Platz
la pluma	der Füller
la policía	die Polizei
la posibilidad	die Möglichkeit
la pregunta	die Frage
la primavera	der Frühling
la prohibición	das Verbot
la propina	das Trinkgeld
la puesta de sol	der Sonnenuntergang
la rabia	die Wut
la recepción	die Rezeption
la receta	das Rezept
la regadera	die Gießkanne
la regla	das Lineal
la repetición	die Wiederholung
la respuesta	die Antwort
la rodilla	das Knie
la ropa	die Kleidung
la ropa de cama	die Bettwäsche
la ropa interior	die Unterwäsche
la sala de espera	das Wartezimmer
la salchicha	die Wurst
la salida de sol	der Sonnenaufgang
la semana	die Woche
la serpiente	die Schlange
la servilleta	die Serviette
la seta	der Pilz
la silla	der Stuhl
la sobrina	die Nichte
la sociedad	die Gesellschaft
la solución	die Lösung
la sombrilla	der Sonnenschirm
la suerte/ la fortuna	das Glück
la tarjeta de fidelidad	die Kundenkarte
la tarta	die Torte
la televisión	der Fernseher
la temperatura	die Temperatur
la tía	die Tante
la tienda	der Laden
la tierra	die Erde
la tijera	die Schere
la tiza	die Kreide
la toalla	das Handtuch
la tormenta	das Unwetter
la tortuga	die Schildkröte
la tos	der Husten
la tristeza	die Trauer
la uña	der Fingernagel
la universidad	die Universität
la uva	die Traube
la vaca	die Kuh
la valla	der Zaun
la vela	die Kerze
la venta	der Verkauf
la vida	das Leben
la zanahoria	die Karotte
largo/a	lang
las bebidas	die Getränke
las escaleras	die Treppe
las gafas	die Brille
las habitaciones accesorias	die Nebenräume
las mascotas	die Haustiere
las matemáticas	die Mathematik
las vacaciones	der Urlaub, die Ferien
lavar los platos	Geschirr spülen
leer	lesen
lejos	weit
llamar	anrufen
Lo siento.	Es tut mir leid.
los abuelos	die Großeltern
los bomberos	die Feuerwehr
los calcetines	die Socken
los cereales	das Müsli, die Cornflakes
los cubiertos	das Besteck
los deberes	die Hausaufgaben
los guantes	die Handschuhe
los hermanos	die Geschwister
los huesos	die Knochen
los invitados	die Gäste
los labios	die Lippen
los muebles	die Möbel
los nietos	die Enkelkinder
los niños	die Kinder
los padres	die Eltern
los pantalones	die Hose
los vaqueros	die Jeans
los zapatos	die Schuhe
mal	schlecht
maleducado/a	unhöflich
mañana	morgen
marrón	braun
más	mehr
Me gustaría pedir.	Ich würde gerne bestellen.
Me llamo ...	Ich heiße ...
Mi cumpleaños es el 12. de junio.	Ich habe am 12. Juni Geburtstag.
mil	Tausend
mil millones	Milliarde
millón	Million
molestar	stören
moreno/a, castañ/a	brünett, braun
mostrar algo	etw. zeigen
mover	bewegen
mucho	viel
nada	nichts
negro/a	schwarz
nervioso/a	nervös
Niederlande	Países Bajos
Norwegen	Noruega
nosotros/nosotras	wir
noventa	Neunzig
nueve	Neun
nuevo/a	neu
nunca	nie
o	oder
ochenta	Achzig
ocho	Acht
once	Elf
optimista	optimistisch
organizado/a	organisiert
orgulloso/a	stolz
Österreich	Austria
pagar	bezahlen
pagar algo con tarjeta	etw. mit Karte bezahlen
pagar algo en efectivo	etw. bar bezahlen
para	für
parecer	scheinen
pariente	verwandt
pasado mañana	übermorgen
pasar	vorbeigehen
pasear	spazieren gehen
pensar	denken
pequeño/a	klein
pero	aber
pescar	angeln
pintar	malen
plateado/a	silber
pobre	arm
poco	wenig
Polen	Polonia
por	für
por eso	deshalb, deswegen
por favor	Bitte
por la mañana	morgens
por la noche	abends
por la tarde	nachmittags
por supuesto	sicher
porque	weil
Portugal	Portugal
posible	möglich
preguntar	fragen
preocupado/a	besorgt, beunruhigt
primero/primera	erste(r)
pues	nun, dann, also
quedar	sich treffen
quedarse	bleiben
querer	wollen
quince	Fünfzehn
quinto/quinta	fünfte(r)
rebajado/a	reduziert
recibir	bekommen
recordarse	sich erinnern
regalar	schenken
registrar la salida	Auschecken
registrarse	Einchecken
reír	lachen
reservar	buchen
reparar	reparieren
respetuoso/a	respekt-/ taktvoll
rico/a	reich
rojo/a	rot
rosado/a	pink / rosa
roto, fracturado	kaputt, zerbrochen
rubio/a	blond
Rumänien	Rumania
saber	wissen
salir de fiesta	feiern gehen
saltar	springen
Schweden	Suecia
Schweiz	Suiza
segundo/segunda	zweite(r)
seis	Sechs
sentirse	sich fühlen
séptimo/séptima	siebte(r)
ser / estar	sein
serio/a	ernst
sesenta	Sechszig
setenta	Siebzig
sexto/sexta	sechste(r)
si	falls
siempre	immer
siete	Sieben
simpático/a	nett, sympathisch
sin	ohne
sólo	nur
sonriente	strahlend, fröhlich
sorprendido/a	überrascht
sostenible	nachhaltig
Soy de ...	Ich komme aus…
Spanien	España
tal vez	vielleicht
tarde	spät
temprano	früh
tener	haben
Tengo ... años.	Ich bin ... Jahre alt.
tercero/tercera	dritte(r)
tímido/a	schüchtern
todavía	trotzdem, noch, dennoch
tomar el sol	sich sonnen
tomar un café	Kaffee trinken
torpe	ungeschickt
trece	Dreizehn
treinta	Dreißig
tres	Drei
triste	traurig, deprimiert
tú	du
Türkei	Turquía
turquesa	türkis
Una mesa para X, por favor.	Einen Tisch für X Personen, bitte.
Ungarn	Hungría
uno	Eins
usar	benutzen
usted	Sie
útil	nützlich
vacío	leer
vago/a	faul
veinte	Zwanzig
venir	kommen
ver	sehen
ver la televisión	Fernsehen schauen
verde	grün
viajar	reisen
viejo/a	alt
violeta	violett / lila
vivir	leben
vosotros / vosotras	ihr
y	und
ya	schon
yo	ich
