German	Spanish
hoch, laut	 alto
von oben nach unten	 de alto bajo
rede nicht so laut	 no hables tan alto
sich erheben, aufstehen	 alzarse
er stand von dem Stuhl auf	 se alzó de la silla
der Schüler	 el alumno
die Schülerin	 la alumna
die Schüler haben die Hausaufgaben gemacht	 los alumnos han hecho los deberes
dort	 allá
dort oben	 allá arriba
dorthin	 hacia allá
da, dort	 allí
dorthin	 por allí
bis dahin	 hasta allí
da ist er!	 ¡allí está!
nett, freundlich	 amable
diese Frau ist so nett	 esta mujer es tan amable
die Liebenswürdigkeit	 la amabilidad
wäre Sie so freundlich mir zu helfen?	 ¿tendría Vd. la amabilidad de ayudarme?
lieben	 amar
ich liebe dich	 te amo
die Liebe	 el amor
gelb	 amarillo
Maria trägt eine gelbe Bluse	 Maria lleva una blusa amarilla
beide	 ambos (m.), ambas (f.)
beide kamen aus dem Haus	 ambos salieron de casa
der Freund	 el amigo
die Freundin	 la amiga
Juan ist mein bester Freund	 Jua es mi mejor amigo
die Freundschaft	 la amistad
gehen	 andar
ich bin zehn Kilometer gegangen	 he andado diez kilómetros
zu Fuß gehen	 andar a pie
hau ab!	 ¡anda a paseo!
das Tier	 el animal
wir suchen ein Haustier für meine kleine Schwester	 buscamos un animal doméstico para mi hermana pequeña
gestern Abend	 anoche
gestern Abend ging ich ins Kino	 anoche fui al cine
vorgestern	 anteayer
ich habe deine Mutter vorgestern getroffen	 encontré a tu madre anteayer
vorher, eher	 antes
tags zuvor	 el día antes
vor	 antes de
vor dem Essen	 antes de la comida
bevor	 antes de que (+subj.)
bevor sie kommt, gehe ich	 antes de que ella venga, yo me voy
das Jahr	 el año
im Jahr 2006, 2006	 en el año 2006
nächstes Jahr	 el año que viene
nächstes Jahr	 el próximo año
letztes Jahr	 el año pasado
parken	 aparcar
Parken verboten	 prohibición de aparcar
erscheinen	 aparecer
er ist plötzlich aufgetaucht	 de repente apareció
(er)lernen	 aprender
schreiben/lesen lernen	 aprender a escribir/leer
auswendig lernen	 aprender de memoria
nutzen	 aprovechar
guten Appetit	 ¡que aproveche!
ungefähr	 aproximadamente
er wird in ungefähr 2 Stunden kommen	 vendrá en aproximadamente dos horas
hier, jetzt	 aquí
bis hierher, bis jetzt	 hasta aquí
hier herum	 por aquí
heute in fünf Tagen	 de aquí a cinco días
der Baum	 el árbol
er hat viele Bäume in seinem Garten	 tiene muchos árboles en su jardín
der Schrank	 el armario
ein Schrank dient zum Aufbewahren von Kleidern	 un amario se usa para guardar la ropa
regeln, in Ordnung bringen	 arreglar
ich habe alles geregelt	 he arreglado todo
man muss den Fernseher in Ordnung bringen	 hay que arreglar el televisor
Juan räumt sein Zimmer auf	 Juan arregla su cuarto
oben	 arriba
von oben nach unten	 de arriba abajo
komm herauf	 ven arriba
aufwärts, nach oben	 hasta arriba
so	 así
so ist es	 es así
so ist es gut	 así está bien
genauso, auf die gleiche Weise	 así mismo
die Aufmerksamkeit	 la atención
die Aufmerksamkeit lenken auf	 llamar la atención sobre
Achtung!	 ¡atención!
hinten, zurück	 atrás
von hinten	 por atrás
nach hinten	 hacia atrás
er ging einen Schritt zurück	 marchó un paso hacia atrás
sogar	 aun
ich würde dir sogar das ganze Geld geben	 te daría aun todo el dinero
nicht einmal die Hälfte	 ni aun la mitad
noch	 aún
ich weiß es noch nicht	 aún no lo sé
ist er noch nicht gekommen?	 ¿no ha venido aún?
obwohl, selbst wenn	 aun cuando
obwohl ich nicht viel Zeit habe, helfe ich dir	 aun cuando no tenga mucho tiempo te ayudaré
selbst wenn es regnet, komme ich	 aun cuando llueva, voy
obgleich, obwohl	 aunque
obwohl ich nicht viel Zeit habe, helfe ich dir	 aunque no tenga mucho tiempo, te ayudaré
der (Omni)Bus	 el autobús
mit dem Bus fahren	 ir en autobús
das Flugzeug	 el avión
fliegen	 ir en avión
gestern	 ayer
gestern Morgen	 ayer (por la) mañana
gestern Nachmittag	 ayer (por la) tarde
gestern Abend	 ayer (por la) noche
helfen, unterstützen	 ayudar
hilf mir ein bisschen	 ayudame un poco
womit kann ich Ihnen helfen?	 ¿en qué puedo ayudarle?
die Hilfe	 la ayuda
der Zucker	 el azúcar
nehmen Sie Zucker in den Kaffee?	 ¿tome Vd. azúcar en el café?
blau	 azul
er hat ein blaues Auto	 tiene un coche azul
tanzen	 bailar
zum Tanz auffordern	 sacar a bailar
der Tanz	 el baile
niedrig, leise, unter	 bajo
zu einem niedrigen Preis	 a bajo precio
sprich leiser	 habla más bajo
unter Null	 bajo cero
die Bank	 el banco
Geld auf der Bank haben	 tener dinero en el banco
das Bad, das Badezimmer	 el baño
ein Bad nehmen, baden	 tomar un baño
baden	 bañarse
billig	 barato
zu einem niedrigen Preis	 a precio barato
billig sein	 costar barato
das Schiff, das Boot	 el barco
einen Fluss in einem Boot überqueren	 atravesar un río en un barco
ausreichen, genügen	 bastar
genug! es reicht!	 ¡basta!
das genügt mir	 eso me basta
genug, ziemlich	 bastante
er hat nie genug	 nunca tiene bastante
er hat ein ziemlich großes Haus	 tiene una casa bastante grande
trinken	 beber
aus einem Glas trinken	 beber en un vaso
das Getränk	 la bebida
küssen	 besar
auf den Mund küssen	 besar en la boca
der Kuss	 el beso
Gutenachtkuss	 beso de buenas noches
das Fahrrad	 la bicicleta
Rad fahren	 ir en bicicleta
Rad fahren	 andar en bicicleta
gut	 bien
wie geht es Ihnen? Danke, mir geht es gut	 ¿cómo está Vd.? Gracias estoy bien
gut gemacht!	 ¡bien hecho!
gut so!, das ist gut!	 ¡está bien!
nun gut!	 ¡pues bien!
die Fahrkarte	 el billete
eine Fahrkarte lösen	 tomar un billete
ermäßigte/volle Fahrkarte	 billete económico/entero
Hin- und Rückfahrkarte	 billete de ida y vuelta
einfache Fahrkarte	 billete de ida (sola)
weiß	 blanco
welche Farbe hat dein Auto? Weiß	 ¿de qué color es tu coche? Blanco
die Bluse	 la blusa
sie trägt eine weiße Bluse	 lleva una blusa blanca
dumm, töricht	 bobo
sei nicht dumm!	 ¡no seas bobo!
Juan ist ein Dummkopf	 Juan es un bobo
der Mund	 la boca
den Mund halten	 callar la boca
halt den Mund!	 ¡calla la boca!
der Kugelschreiber	 el bolígrafo
den Kugelschreiber benutzt man zum Schreiben	 el bolígrafo se usa para escribir
die Tasche	 la bolsa
leg die Einkäufe in deine Tasche	 pon las compras en tu bolsa
die (Hosen)Tasche	 el bolsillo
aus eigener Tasche bezahlen	 pagar de su bolsillo
die Güte	 la bondad
würde Sie so freundlich sein mir zu helfen?	 ¿tendría Vd. la bondad de ayudarme?
schön	 bonito
Maria ist eine schöne Frau	 Maria es una mujer bonita
der Wald	 el bosque
mir gefällt Kanada mit seinen dichten Wäldern	 me gusta el Canadá con sus bosques espesos
die Flasche	 la botella
eine Flasche Wasser	 una botella de agua
der Knopf	 el botón
drücken Sie den weißen Knopf zum Öffnen	 pulse Vd. el botón blanco para abrir
der Arm	 el brazo
am Arm packen	 coger por el brazo
mit offenen Armen	 con los brazos abiertos
jn. mit offenen Armen empfangen	 recibir a alg. con los brazos abiertos
kurz	 breve
eine Reise von kurzer Dauer	 un viaje de breve duración
in kurzem	 en breve
so bald wie möglich	 en el más breve plazo posible
um es kurz zu machen	 para ser breve
fasse dich kurz	 ¡sé breve!
der Scherz	 la broma
im Scherz	 de broma
gut	 bueno (m.), buen (vor männl. Sub. im Sing.), buena (f.)
ein gutes Buch	 un libro bueno
ein gutes Buch	 un buen libro
im rechten Augenblick	 en buena hora
das (große) Schiff	 el buque
wir haben den Atlantik in einem Schiff überquert	 hemos atravesado el atlántico en un buque
suchen	 buscar
wir suchen unsere Katze	 buscamos a nuestro gato
wir suchen eine Katze	 buscamos un gato
die Suche	 la busca
auf der Suche nach	 en busca de
das Pferd	 el caballo
reiten	 ir a caballo
das (Kopf)Haar	 el cabello
die Haare kurz tragen	 llevar el cabello corto
die Haare lang tragen	 llevar el cabello largo
Platz haben, hineingehen	 caber
in diesem Auto haben acht Personen Platz	 en este coche caben ocho personas
der Kopf	 la cabeza
sich in den Kopf setzen	 meterse en la cabeza
sich den Kopf zerbrechen	 romperse la cabeza
jede(r,s)	 cada
ich stehe jeden Tag um 6 Uhr auf	 me levanto cada día a las seis
jedesmal (wenn)	 cada vez
jeden fünften Tag	 cada cinco días
jede(r,s)	 cada uno (m.), cada una (f.)
jeder von euch	 cada uno de vosotros
jede von euch	 cada una de vosotras
(hinunter)fallen	 caer
das Buch ist hinuntergefallen	 el libro se cayó
der Kaffee, das Café	 el café
einen Kaffee/eine Tasse Kaffee trinken	 tomar un café/una taza de café
Kaffee mit Milch	 café con leche
schwarzer Kaffee	 café puro/solo negro
die Schachtel	 la caja
legen Sie die Bücher in die weiße Schachtel	 ponga los libros en la caja blanca
heiß, warm	 caliente
die Hitze, die Wärme	 el calor
es ist (sehr) heiß	 hace (mucho) calor
mir ist heiß	 tengo calor
die Straße	 la calle
auf der Straße	 en la calle
die Straße überqueren	 atravesar la calle
das Bett	 la cama
zu Bett gehen	 ir a la cama
der Kellner	 el camarero
die Kellnerin	 la camarera
Herr Ober, die Speisekarte bitte	 camarero, el menú por favor
(sich) ändern, wechseln	 cambiar
er hat seine Meinung geändert	 ha cambiado su opinión
Geld wechseln	 cambiar dinero
die (Ver)Änderung, der Wechsel	 el cambio
der Weg	 el camino
können Sie mir bitte den Weg nach Madrid beschreiben	 ¿puede Vd. describirme el camino a Madrid, por favor?
sich auf den Weg machen	 ponerse en camino
der Lastkraftwagen, der LKW	 el camión
ein LKW ist ein großes Fahrzeug für den Transport	 un camión es un vehículo grande para el transporte
das Hemd	 la camisa
er trägt ein weißes Hemd	 lleva una camisa blanca
müde	 cansado
ich bin sehr müde	 estoy muy cansado
müde werden	 cansarse
er wurde müde	 se cansó
singen	 cantar
sing ein Lied	 canta una canción
das Lied	 la canción
das Gesicht	 la cara
er hat ein schönes Gesicht	 tiene una cara bonita
das Fleisch	 la carne
schmeckt dir das Fleisch?	 ¿te gusta la carne?
der Führerschein	 el carnet de conducir
der Polizist möchte einen Führerschein sehen	 el guardia quiere ver mi carnet de conducir
die Metzgerei, die Fleischerei	 la carnicería
ich gehe zjm Metzger/in die Metzgerei	 yo voy a la carnicería
teuer	 caro
ein teures Auto	 un coche caro
die (Land)Straße	 la carretera
die Straße zwischen Madrid und Barcelona wird verbreitert	 se ensancha la carretera entre Madrid y Barcelona
der Brief	 la carta
gestern habe ich einen Brief an meine Schwester geschrieben	 ayer he escrito una carta a mi hermana
das Haus	 la casa
zu Hause sein	 estar en casa
nach Hause gehen	 ir a casa
verheiraten	 casar
jn. heiraten	 casarse con alg.
die Heirat	 el casamiento
fast, beinahe	 casi
er hat fast nichts gemacht	 no ha hecho casi nada
der Fall	 el caso
falls es regnet, komme ich nicht	 en el caso de que lleva, no vendŕe
ich komme auf keinen Fall	 no vengo en ningún caso
ich komme auf jeden Fall	 vengo en todo caso
bestrafen	 castigar
er bestrafte seinen Sohn für seine Faulheit	 castigó a su hijo por pereza
die Strafe	 el castigo
das Schloss	 el castillo
er lebt in einem Schloss	 vive en un castillo
vierzehn	 catorce
ich bin 14 Jahre alt	 tengo catorce años
die Ursache	 la causa
seine Faulheit war die Ursache für seine schlechten Noten	 su pereza fue causa de sus mala notas
verursachen	 causar
wegen, auf Grund von	 a causa de
sie versäumten den Zug wegen des Verkehrs	 perdieron el tran a causa del tráfico
der Personalausweiß	 la cédula personal
am Flughafen müssen die Passagiere den Personalausweiß vorzeigen	 en el aeropuerto los pasajeros tienen que presentar la cédula personal
sich freuen, feiern	 celebrar
es freut mich sehr	 lo celebro mucho
die Feier	  la celebración
stattfinden	 celebrarse
wo findet das Konzert statt?	 ¿dónde se celebra el concierto?
das Abendessen	 la cena
zu Abend essen	 cenar
ich habe Pedro und Maria zum Abendessen eingeladen	 he invitado Pedro y María a cenar
nahe bei	 cerca de
das Hotel befindet sich inder Nähe des Bahnhofs	 el hotel queda cerca de la estación
das Schwein	 el cerdo
dieser Brauer hat dreißig Schweine	 ese campesino tiene treinta cerdos
nan	 cero
über/unter Null	 sobre/bajo cero
(ab-,ver)schließen	 cerrar
ab-, zuschließen	 cerrar con llave
schließen Sie die Tür!	 ¡cierra la puerta!
das Bier	 la cerveza
ein Bier trinken	 tomar una cerveza
ein Glas Bier trinken	 tomar un vaso de cerveza
der Korb	 la cesta
leg die Einkäufte in diesen Korb	 pon las compras en esta cesta
der Himmel	 el cielo
ich habe unter freiem Himmel geschlafen	 he dormido a cielo abierto
hundert	 ciento (alleinstehend oder vor Zahlwörten)
hunderteins	 ciento uno
hundertsechsundzwanzig	 ciento veintiséis 
hundert	 cien
er ist 100 Jahre alt	 tiene cien años
die Zigarette	 el cigarrillo
er raucht zwanzig Zigaretten pro Tag	 fuma veinte cigarrillos al día
fünf	 cinco
meine Tochter ist fünf Jahre alt	 mi hija tiene cinco años
fünfzig	 cincuenta
ich habe fünfzig Euro ausgegeben	 he gastado cincuenta euros
das Kino	 el cine
ins Kino gehen	 ir al cine
die Stadt	 la ciudad
Barcelona ist eine große Stadt	 Barcelona es una gran ciudad
klar	 claro
das ist klar!	 ¡está claro!
natürlich!	 ¡claro está!
klarstellen, klären	 poner en claro
die Klasse/der Unterricht	 la clase
den Unterricht versäumen	 flatar a clase
das Auto	 el coche
mit dem Auto fahren	 ir en coche
die Küche	 la cocina
die Mutter ist in der Küche und bereitet das Abendessen vor	 la madre está en la cocina y prepara la cena
fangen/(er)greifen	 coger
ich fing den Ball	 cogía la pelota
sich erkälten	 coger frío
die Farbe	 el color
welche Farbe hat sein Auto?	 ¿de qué color es su coche?
das Esszimmer	 el comedor
die Familie nimmt das Abendessen im Esszimmer ein	 la familia toma la cena en el comedor
beginnen/anfangen	 comenzar
er beginnt zu essen	 comienza a comer
der Anfang/der Beginn	 el comienzo
essen	 comer
wir essen jeden Tag um ein Uhr zu Mittag	 nosotros comemos cada día a la una
das Essen/das Mittagessen	 la comida
wie	 como
er hat das gleiche Auto wie wir	 tiene un coche como el nuestro
wie?	 ¿cómo?
wie hast du das gemacht?	 ¿cómo lo has hecho?
das Mitleid	 la compasión
ich habe Mitleid mit ihm	 tengo compasión de él
(ein)kaufen	 comprar
der (Ein)Kauf	 la compra
einkaufen gehen	 ir/salir de compras
verstehen/begreifen	 comprender
ich versteh das nicht	 no lo comprendo
falsch verstehen	 comprender mal
mit	 con
er ist mit mir gekommen	 ha venido conmigo
er ist mit dir gekommen	 ha venido contigo
ich bin mit ihr gekommen	 he venido con ella
die Bedingung	 la condición
unter der Bedingung, dass	 a condición de que
unter dieser Bedingung	 en esta condición
fahren/führen	 conducir
das führt zu nichts	 eso no conduce a nada
der Fahrer	 el conductor
kennen	 conocer
kennen Sie Herrn Garrote?	 ¿conoce Vd. al señor Garrote?
die Folge / die Konsequenz	 la consecuencia
zur Folge haben	 tener por consecuencia
folglich	 por consiguiente
erreichen / schaffen	 conseguir
das werde ich nie schaffen	 no lo conseguiré nunca
raten	 consejar
der Rat	 el consejo
er fragte mich um Rat	 me ha pedido consejo
erzählen / zählen	 contar
eine Anekdote erzählen	 contar una anécdota
zähl die, die hier sind	 cuenta los que están aquí
zufrieden	 contento
ich bin sehr zufrieden mit deiner Arbeit	 estoy muy contento de tu trabajo
(be)antworten	 contestar
eine Frage beantworten	 contestar a una pregunta
die Antwort	 la contesta
fortsetzen / weitermachen	 contiunar (+ ger.)
lies weiter	 contiúa leyendo
gegen	 contra
Anna handelte gegen seinen Willen	 Ana obró contra su voluntad
etw. dagegen haben	 tener algo en contra
prüfen, kontrollieren	 controlar
der Zoll kontrolliert den Eingang und Ausgang der Waren	 la aduana controla la entrada y salida de las mercancías
die Kontrolle	 el control
das Gespräch, die Unterhaltung	 la conversación
ich habe zwei Gespräche mit ihr geführt	 he tenido dos conversaciónes con ella
richtig, korrekt	 correcto
das ist richtig	 esto es correcto
die Post	 el correo
ist die Post für mich da?	 ¿tengo correo?
laufen, rennen	 correr
er ist sehr schnell gerannt	 ha corrido muy rápido
beeil dich!	 ¡corre!
schneiden	 cortar
ich habe das Brot geschnitten	 he cortado el pan
kurz	 corto
sie trägt ein kurzes Kleid	 lleva un vestido corto
die Sache / das Ding	 la cosa
das ist etwas Wichtiges	 es una cosa de importancia
kosten	 costar
das Auto kostet viel Geld	 el coche cuesta mucho dinero
wie viel kostet es?	 ¿cuánto cuesta?
glauben	 creer
ich glaube kein Wort	 no creo ninguna palabra
ich glaube ja	 creo que sí/no
an Gott glauben	 creer en Dios
welche(r,s)?	 ¿cuál?
welches ist dein Haus?	 ¿cuál es tu casa?
als	 cuando
er kam, als ich ging	 venía cuando yo me fui
wann?	 ¿cuándo?
wann kommst du?	 ¿cuándo vienes?
wie viel?	 ¿cuánto? / ¿cuánta?
wie viele Bücher hast du gekauft?	 ¿cuántos libros has comprado?
den Wievielten haben wir heute? Wir haben den 20. Januar	 ¿a cuántos estamos? Estamos a veinte de enero
vierzig	 cuarenta
ich bin vierzig Jahre alt	 tengo cuarenta años
das Viertel / vierte(r,s)	 cuarto
es ist Viertel vor eins	 es la una menos cuarto
es ist Viertel nach eins	 es al una y cuarto
eine Viertelstunde	 un cuarto de hora
eine Dreiviertelstunde	 tres cuartos de hora
viertens / an vierter Stelle	 en cuarto lugar
das Zimmer / der Raum	 el cuarto
das Badezimmer / das Bad	 el cuarto de baño
vier	 cuatro
mein Bruder ist vier Jahre alt	 mi hermano tiene cuatro años
vierhundert	 cuatrocientos
das Auto kostet vierhundert Euro	 el coche cuesta cuatrocientos euros
der (Suppen)Löffel	 la cuchara
den Löffel benutzt man zum Suppe essen	 la cuchara se usa para comer sopa
das Messer	 el cuchillo
das Messer benutzt man zum Schneiden	 el cuchillo se usa para cortar
die Rechnung	 la cuenta
zahlen bitte	 la cuenta, por favor
der Körper	 el cuerpo
mit Leib und Seele	 en cuerpo y alma
die Vorsicht	 el cuidado
seien Sie vorsichtig	 ¡tenga cuidado!
der Geburtstag	 el cumpleaños
herzlichen Glückwunsch zum Geburtstag	 feliz cumpleaños
die Jacke	 la chaqueta
Juan trägt eine schwarze Jacke	 Juan lleva una chaqueta negra
der Junge	 el chico
das Mädchen	 la chica
Maria ist ein nettes Mädchen	 María es una chica amable
die Schokolade	 el chocolate
magst du Schokolade?	 ¿te gusta el chocolate?
geben	 dar
bitte gib mir dieses Buch	 dame este libro por favor
von, aus	 de (del, de la, de los, de las
er kommt aus Spanien	 viene de España
die Kirche ist drei Kilometer weit vom Bahnhof weg	 la iglesia está a tres kilómetros
das ist das Auto meines Bruders	 esta es el coche de mi hermano
plötzlich	 de repente
ich las ein Buch und plötzlich kam meine Mutter herein	 leía un libro y de repente mi madre entró
unter, unten	 debajo
das Buch liegt unter dem Tisch	 el libro está debajo de la mesa
sein Büro ist unten	 su oficina está debajo
müssen, sollen, dürfen	 deber
wir müssen sofort abreisen	 debemos partir en seguida
du sollst es lesen	 debes leerlo
das darf man nicht tun	 esto no se debe hacer
die Hausaufgaben	 los deberes
Anna macht ihre Hausaufgaben	 Ana hace los deberes
schwach	 débil
schwach ist das Gegenteil von stark	 débil es lo contrario de fuerte
entscheiden	 decidir
wir haben entschieden das Auto zu kaufen	 hemos decidido comprar el coche
wir haben uns für das rote Auto entschieden	 nos hemos decidido por el coche rojo
die Entscheidung	 la decisión
zehnte(r,s)	 décimo
an zehnter Stelle, zehntens	 en décimo lugar
der zehnte Teil	 la décima parte
sagen	 decir
er sagt ja/nein	 dice que sí/no
ich werde es meinem Vater sagen	 se lo diré a mi padre
was meinen Sie damit?	 ¿qué quiere Vd. decir con ello?
das heißt	 es decir, quiere decir
erkären, aussagen, angeben	 declarar
haben Sie etwas zu verzollen?	 ¿tiene Vd. algo para declarar?
können Sie uns erklären, worüber sie gesprochen haben?	 ¿puede Vd. declararnos sobre lo que han hablado?
die Erklärung	 la declaración
der Finger	 el dedo
mit dem Finger auf jn. zeigen	 señalar a uno con el dedo
lassen	 dejar
lass mich gehen	 déjame ir
versäumen Sie nicht es zu tun!	 ¡no deje de hacerlo!
vor	 delante
vor dem Haus	 delante de la casa
buchstabieren	 deletrear
können Sie das Wort buchstabieren?	 ¿puede Vd. deletrear la palabra?
zu viel, zu sehr	 demasiado
das Auto ist zu teuer	 el coche es demasiado caro
innen, drinnen	 dentro
im Haus	 dentro de la casa
innerhalb einer Woche	 dentro de una semana
der Sport	 el deporte
Fussball ist mein Lieblingssport	 fútbol es mi deporte favorito
rechts	 a la derecha
die Kirche ist rechts	 la iglesia está a la derecha
fahren Sie nach rechts	 tome Vd. la derecha
halten Sie sich rechts	 lleve Vd. la derecha
halten Sie sich rechts	 mantengase Vd. a la derecha
gerade	 derecho
gehen Sie immer geradeaus	 vaya Vd. siempre derecho
verschwinden	 desaparecer
er ist plötzlich verschwunden	 de repente desaparecío
das Frühstück	 el desayuno
das Frühstück einnehmen	 tomar el desayuno
frühstücken	 desayunar
beschreiben	 describir
können Sie mir bitte den Weg nach Madrid beschreiben?	 ¿puede Vd. describirme el camino a Madrid, por favor?
die Beschreibung	 la descripción
entdecken	 descubrir
Kolumbus hat Amerika entdeckt	 Colón descubrió América
die Entdeckung	 el descubrimiento
seit, von	 desde
seit 2005	 desde 2005
seit wann?	 ¿desde cuándo?
seit einem Jahr	 desde hace un año
seit langem	 desde hace mucho tiempo
wünschen	 desear
ich wünsche dir viel Glück	 te deseo buena suerte
der Wunsch	 el deseo
langsam	 despacio
langsam ist das Gegenteil von schnell	 despacio es lo contrario de rápido
wecken	 despertar
ich habe ihn um 6 Uhr geweckt	 le he despartado a las seis
aufwachen	 despertarse
er wachte um 6 Uhr auf	 se despertó a las seis
nach, später	 después
nach dem Essen	 después de la comida
bis später	 hasta después
zerstören, vernichten	 destruir
das Erdbeben zerstörte alle Häuser	 el terremoto destruyó todas las casas
die Zerstörung	 la destrucción
hinten	 detrás
hinter dem Haus	 detrás de la casa
zurückgeben	 devolver
bitte gib mir mein Buch zurück	 devuélveme mi libro, por favor
der Tag	 el día
täglich, jeder Tag	 cada día
am nächsten Tag	 al día siguiente
am nächsten Tag	 al otro día
guten Tag, guten Morgen	 buenos días
der Dezember	 diciembre
im Dezember	 en diciembre
am 1./der 1. Dezember	 el primero/uno de diciembre
am 15./der 15. Dezember	 el quince de diciembre
neunzehn	 diecinueve
meine Schwester ist neunzehn Jahre alt	 mi hermana tiene diecinueve años
achtzehn	 dieciocho
ich habe achtzehn Euro ausgegeben	 he gastado dieciocho euros
sechzehn	 dieciséis
das Buch kostet sechzehn Euro	 el libro cuesta dieciséis euros
siebzehn	 diecisiete
ich bin siebzehn Jahre alt	 tengo diecisiete años
zehn	 diez
mein kleiner Bruder ist zehn Jahre alt	 mi hermano pequeño tiene diez años
der Unterschied	 la diferencia
verschieden, anders	 diferente
das ist anders	 es diferente
schwierig	 difícil
das ist ein schwieriges Problem	 es un problema difícil
die Schwierigkeit	 la dicicultad
Schwierigkeiten machen	 poner dificultades
das Geld	 el dinero
Geld wechseln	 cambiar dinero
Kleingeld	 dinero suelto
die Richtung	 la dirección
er ging in Richtung Bahnhof	 fue en dirección a la estación
(sich) entschuldigen	 disculpar(se)
bitte entschuldigen Sie meine Verspätung	 discúlpeme pro haber llegado tarde
die Entschuldigung	 la disculpa
diskutieren	 discutir
eine Frage erörtern	 discutir una cuestión
über Politik diskutieren	 discutir (de) política
die Diskussion	 la discusión
entschuldigen	 dispensar
bitte entschuldigen Sie die Störung	 dispense Vd. que la haya molestado
streiten	 disputar
sich um etw. streiten	 disputarse algo
der Streit	 la disputa
die Entfernung / der Abstand	 la distancia
wie weit ist es von hier bis zum Bahnhof?	 ¿qué distancia hay de aquí a la estación?
mehrere / verschiedene	 diversos
sie trägt eine Bluse mit verschiedenen Farben	 lleva una blusa de diversos colores
bei verschiedenen Gelegenheiten	 en diversas ocaciones
zwölf	 doce
es ist 12 Uhr	 son las doce
um 12 Uhr	 a las doce
der Doktor / der Arzt	 el doctor
